уход: уход уходе
хороший: хорошие
отлично: отлично
время: времени время
дружелюбность: дружелюбность
содержание: содержания
куница: куниц
поиск: поиск
великобритания: великобритания великобритании
поспевать: поспевать
добавить: добавьте
кличка: клички
чау-чау: чау-чау
отзыв: отзывах отзывы
прогулка: прогулки
правило: правила
нужный: нужны
отличаться: отличается
высокий: высокая высокий
сайт: сайту
купить: купить
питомник: питомники
умеренный: умеренная умеренное
московский: московский
происхождение: происхождения
собака: собака собаки собаке собак
кошка: кошки
охота: охоте охоты
активный: активные активная
небольшой: небольшое небольшая
южнорусский: южнорусская
сколько: сколько
вакансия: вакансии
характер: характер
название: название
шум: шум
изначально: изначально
команда: команда
оценка: оценке
информация: информация
смочь: смогут
подходить: подходит
прекрасный: прекрасный
проект: проекте
возраст: возрастов
обсуждение: обсуждения
век: века
вывести: выведенная
дрессировка: дрессировка дрессировке
стоить: стоит
форум: форум форуме
цена: цена
фото: фото
связь: связь
уделять: уделять
кг: кг
агрессивность: агрессивность
краткий: краткая
сделать: сделано
материал: материалов
потребность: потребность
характеристика: характеристика
животное: животным
яндекс: яндекс
лис: лис
линька: линька
отношение: отношение
бордер-терьер: бордер-терьера бордер-терьер
страна: страна
владелец: владельцам владельцев
лошадь: лошадьми
жизнь: жизни
зарождение: зарождения
эксперт: экспертов
порода: породы порода
перейти: перейти
овчарка: овчарка
пока: пока
тело: тело
середина: середина
первый: первую
вконтакте: вконтакте
ребёнок: детьми
любить: любят
объявление: объявления
лапа: лапы
щенок: щенки
россия: россия
холка: холке
рост: рост
обратный: обратная
создать: создать
описание: описание
дракон: дракон
главный: главная
начало: начало
длинный: длинные
рейтинг: рейтинг
стоимость: стоимость
интеллект: интеллект
охранный: охранные
журнал: журнал
качество: качества
вес: вес
высота: высота
который: которые
одноклассник: одноклассники
конец: конец
подписываться: подписывайтесь
шерсть: шерстью
видео: видео
компаньон: компаньон
реклама: реклама
средний: среднее
легко: легко
человек: людей
жёсткий: жесткой
мочь: можете
мимимишность: мимимишности
бордер: бордеру
лента: ленту
нора: норы
пролазить: пролазить
охотничий: охотничьих
поддаваться: поддается
здоровье: здоровье
умный: умная
запретить: запрещено
случайный: случайные
ка-де-бый: ка-де-бо
очень: очень
ладить: ладит
ум: умом
основать: основана
питомец: питомцу
смотреть: см
продолжительность: продолжительность
рекомендоваться: рекомендуется
одиночество: одиночеству
дружелюбный: дружелюбная
копирование: копирование
фотография: фотографии
активность: активность
низкий: низкая
год: лет
